Abercrombie, Lascelles
Ackerman, Forrest J.
Agnew, Lady
Andersen, Hans
Auden, W. H.
Barber, E. A.
Barfield, Owen
Barrie, J. M.
Baynes, Pauline
Blackwell, Sir Basil
Bradley, Henry
Bratt, Edith ⧼see⧽ Tolkien, Edith
Bratt, Frances
Brewerton, George
Brodax, Al
Brookes-Smith family
Bryson, John
Buchan, John
Campbell, Alistair
Carr, Charlie
Cecil, Lord David
Chambers, R. W.
Chaucer
Chesterton, G. K.
Clark Hall, J. R.
Coghill, Nevill
Coles, Phoebe
Collins, Sir William
Collyer, Naomi
Craigie, W. A.
Cullis, Colin
Dagnall, Susan
Daniel, Glyn
d’Ardenne, Simonne
Davidman, Joy
Davis, Lena
Davis, Norman
Dawkins, R. M.
Doran, Mgr Wilfred
Dunsany, Lord
Dyson, Hugo
Elvin, William
Farnell, L. R.
Faulkner, Mrs
Field family
Furth, Charles
Gamgee, Sam (the real person)
Gilson, R. C.
Gilson, R. Q.
Golding, William
Gordon, E. V.
Gordon, George
Gordon, Ida
Green, Peter
Green, Roger Lancelyn
Griffiths, Elaine
Grove, Jennie
Hardie, Colin
Harting, Piet
Havard, R. E.
Hill, Joy
Hitler, Adolf
Hughes, Richard
Incledon family
Jenkinson, Phyllis
Jessop family
Jones, Gwyn
Keats, John
Kilby, Clyde S.
Lambert, J. W.
Lang, Andrew
Lean, Tangye
Lear, Edward
Levin, Bernard
Lewis, C. S.
Lewis, Sinclair
Lewis, W. H.
Lumsden, Elisabeth
McCallum, R. B.
Macdonald, George
Madlener, J.
Malory
Masefield, John
Mathew, Rev. Gervase
Mawer, Allen
Metcalf, John
Mills, Stella
Milton, John
Mitchison, Naomi
Morgan, Father Francis
Morris, William
Muir, Edwin
Murray, Sir James
Murray, Rev. Robert
Murray, Rosfrith
Napier, A. S.
Neave, Edwin
Neave, Jane ⧼(aunt of Tolkien)⧽
Newman, John Henry
Nichol Smith, David
Onions, C. T.
Plotz, Dick
Potter, Beatrix
Rackham, Arthur
Raleigh, Sir Walter
Reade, Father Vincent
Ready, William
Reynolds, R. W.
Sadler, Sir Michael
Salinger, J. D.
Salu, Mary
Sayer, George
Shakespeare
Sheridan, R. B.
Sisam, Kenneth
Smith, Geoffrey Bache
Stewart, J. I. M.
Suffield family
Suffield, Beatrice
Suffield, John ⧼(grandfather of Tolkien)⧽
Suffield, Mabel, ⧼see⧽ Tolkien, Mabel
Swann, Donald
Thompson, Francis
Tolhurst, Denis and Jocelyn
Tolkien family
Tolkien, Adam ⧼(grandson of⧽ J. R. R. T.)
Tolkien, Arthur ⧼(father of⧽ J. R. R. T.)
Tolkien, Baillie ⧼(daughter-in-law of⧽ ⧼J. R. R. T.)⧽
Tolkien, Christopher ⧼(son of J. R. R. T.)⧽
Tolkien, Edith ⧼(wife of J. R. R. T.)⧽
Tolkien, Faith ⧼(daughter-in-law of J.R.R. T.)⧽
Tolkien, Hilary ⧼(brother of J. R. R. T.)⧽
Tolkien, Joan Anne ⧼(granddaughter of J. R. R. T.)⧽
Tolkien, John Benjamin ⧼(grandfather of J. R. R. T.)⧽
Tolkien, John ⧼(son of J. R. R. T.)⧽
Tolkien, John Ronald Reuel
Tolkien, Mabel ⧼(mother of J. R. R. T.)⧽
Tolkien, Michael ⧼(son of J.R.R. T.)⧽
Tolkien, Priscilla ⧼(daughter of J. R. R. T.)⧽
Tolkien, Rachel ⧼(granddaughter of⧽ ⧼J. R. R. T.)⧽
Tolkien, Simon ⧼(grandson)⧽
Unwin, Rayner
Unwin, Sir Stanley
Wagner, Richard
Waldman, Milton
Wells, Joseph
Williams, Charles
Williamson, Dick
Wilson, F. P.
Wiseman, Christopher
Wrenn, Agnes
Wrenn, Charles
Wright, E. M. (Lizzie)
Wright, Joseph
Wyke-Smith, E. A.
Wyld, H. C.
Zimmerman, Morton Grady
