Abercrombie, Lascelles
Auden, Wystan Hugh
Barfield, Arthur Owen
Barnett, Allen
Barnsley, Thomas Kenneth
Barrie, James Matthew
Barrowclough, Sidney
Baynes, Pauline Diana
Bennett, Henry Stanley
Bennett, Jack Arthur Walter
Blackwell, Basil Henry
Bliss, Alan Joseph
Bowra, Cecil Maurice
Bradley, Henry
Braunholtz, Gustav Ernst Karl
Brett-Smith, Herbert Francis Brett
Brewerton, George
Brogan, Denis Hugh Vercingetorix
Brookes-Smith family
Brown, Walter Rolfe
Bryson, John Norman
Buchan, John
Buckhurst, Helen Thérèse McMillan
Burchfield, Robert William
Campbell, Alistair
Campbell, Ignatius Roy Dunnachie
Carr, Charlie
Carroll, Lewis
Carter, Douglas
Cecil, Edward Christian David Gascoyne
Chambers, Raymond Wilson
Chandler, Pamela
Chaucer, Geoffrey
Chesterton, Gilbert Keith
Childe, Wilfred Rowland Mary
Coghill, Nevill Henry Kendal Aylmer
Collingwood, Robin George
Cowling, George Herbert
Craigie, William Alexander
Cullis, Colin
Dagnall, Margery Kathleen Mary, known as Susan
Darbishire, Helen
D’Arcy, Martin Cyril
D’Ardenne, Simonne Rosalie Thérèse Odile
Davis, Norman
Dawkins, Richard MacGillivray
Day, Mabel Katherine
De Zulueta, Francis
Dobson, Eric John
Dundas-Grant, James Harold
Dyson, Henry Victor Dyson
Earp, Thomas Wade
Eddison, Eric Rucker
Emery, Augustin Robert
Everett, Dorothy
Fairbank, Christian Albert Hastings
Farnell, Lewis Richard
Farrer, Katharine Dorothy
Field, Geoffrey Simpson
Firth, Charles Harding
Fletcher, Ronald Frank William
Fox, Adam
Fraser, John
Freston, Hugh Reginald
Gardner, Helen Louise
Gilson, Robert Cary
Gilson, Robert Quilter
Gollins, Annie
Gordon, Eric Valentine
Gordon, George Stuart
Gordon, Robert Hope
Grahame, Kenneth
Green, Roger Gilbert Lancelyn
Griffiths, Mary Elaine
Grove, Mary Jane, known as Jennie
Haggard, Henry Rider
Hall, William Ernest
Halsbury, John Anthony Hardinge Giffard, Earl of
Hardie, Colin Graham
Havard, Robert Emlyn
Hill, Margaret Joy
Incledon family
Jennings, Elizabeth Joan
Jones, Gwyn
Ker, Neil Ripley
Lang, Andrew
Lascelles, Mary Madge
Lea, Kathleen Marguerite
Lewis, Clive Staples
Lewis, Warren Hamilton
McCallum, Ronald Buchanan
MacDonald, George
McFarlane, Kenneth Bruce
McIntosh, Angus
Mackreth, John
Madlener, Josef
Mary Michael
Masefield, John Edward
Massiah-Palmer, Werner William Thomas
Mathew, Anthony Gervase
Measures, Alfred Ernest
Mills, Stella Marie
Mitchison, Naomi Mary Margaret
Mitton family
Morgan, Francis Xavier
Morris, William
Murray, Robert Patrick Ruthven
Napier, Arthur Sampson
Neave, Emily Jane
Nesbit, Edith
Newby, Percy Howard
Nichol Smith, David
Onions, Charles Talbut
Payton, Ralph Stuart
Payton, Wilfrid Hugh
Raleigh, Walter Alexander
Ransome, Arthur Michell
Rattenbury, R.M.
Reade, Francis Vincent
Reynolds, Richard William
Rhodes, Philip Grafton Mole
Rice-Oxley, Leonard
Ridley, Maurice Roy
Salu, Mary Bertha
Sayer, George Sydney Benedict
Shakespeare, William
Simpson, Percy
Sisam, Kenneth
Smith, Albert Hugh
Smith, Geoffrey Bache
Smithers, Geoffrey Victor
Staples, Osric Osmumd
Stevens, Courtenay Edward
Stewart, John Innes Mackintosh
Suffield family
Swann, Donald Ibrahim
Thompson, Francis
Thompson, Louis Lionel Harry
Thompson, William Meredith
Tolhurst, Bernard Joseph
Tolhurst, Denis Anthony
Tolkien family
Tolkien, Arthur Reuel
Tolkien, Christopher Reuel
Tolkien, Edith Mary
Tolkien, Hilary Arthur Reuel
Tolkien, John Francis Reuel
Tolkien, Mabel
Tolkien, Michael Hilary Reuel
Tolkien, Priscilla Mary Anne Reuel
Trimingham, Harold Gilbert Lutyens
Trought, Vincent
Turville-Petre, Edward Oswald Gabriel
Turville-Petre, Joan Elizabeth
Unwin, Rayner Stephens
Unwin, Stanley
Wade-Gery, Henry Theodore
Wagner, Richard Wilhelm
Wain, John Barrington
Waldman, Milton
Wardale, Edith Elizabeth
Whitelock, Dorothy
Wilkinson, Cyril Hackett
Williams, Charles Walter Stansby
Wilson, Frank Percy
Windle, Michael William Maxwell
Wiseman, Christopher Luke
Wrenn, Charles Leslie
Wright, Joseph
Wyke-Smith, Edward Augustine
Wyld, Henry Cecil Kennedy
