Lascelles Abercrombie	English poet, academic, literary critic (1881-1938)	Lascelles Abercrombie	Q561782
Forrest J Ackerman	American collector of science fiction books and movie memorabilia (1916-2008)	Forrest J. Ackerman	Q18227
Gertrude Agnew	(1864-1932)	Lady Agnew	Q75349638
Hans Christian Andersen	Danish writer and poet (1805–1875)	Hans Andersen	Q5673
W. H. Auden	British-American poet (1907–1973)	W. H. Auden	Q178698
Eric Arthur Barber	-	E. A. Barber	Q59627893
Owen Barfield	British philosopher	Owen Barfield	Q305034
J. M. Barrie	Scottish writer and playwright (1860–1937)	J. M. Barrie	Q81796
Pauline Baynes	English illustrator of children's books (1922–2008)	Pauline Baynes	Q101951
Basil Blackwell	English bookseller	Sir Basil Blackwell	Q4867117
Henry Bradley	British philologist and lexicographer (1845–1923)	Henry Bradley	Q3132655
Al Brodax	American animator (1926-2016)	Al Brodax	Q4703612
John Buchan	Scottish author and politician (1875–1940)	John Buchan	Q333004
Alistair Campbell	scholar of Anglo-Saxon studies	Alistair Campbell	Q4727266
Lord David Cecil	British biographer, historian and academic (1902–1986)	Lord David Cecil	Q523064
Geoffrey Chaucer	14th century English poet and author (1343–1400)	Chaucer	Q5683
G. K. Chesterton	English author and Christian apologist (1874–1936)	G. K. Chesterton	Q183167
John Richard Clark Hall	British scholar of Old English (1855-1931)	J. R. Clark Hall	Q29341945
Nevill Coghill	English literary scholar (1899–1980)	Nevill Coghill	Q3338877
Sir William Collins	British politician, born 1817	Sir William Collins	Q8007002
William Craigie	Scottish philologist and lexicographer (1867–1957)	W. A. Craigie	Q2005797
Susan Dagnall	- Susan Dagnall	Q118106303
Glyn Daniel	British archaeologist (1914-1986)	Glyn Daniel	Q713440
Simonne d'Ardenne	Belgian philologist (1899-1986)	Simonne d’Ardenne	Q3484647
Joy Davidman	American poet (1915–1960)	Joy Davidman	Q465594
Richard MacGillivray Dawkins	British archaeologist (1871–1955)	R. M. Dawkins	Q1329968
Edward Plunkett, 18th Baron of Dunsany	Irish writer and dramatist (1878-1957)	Lord Dunsany	Q458658
Hugo Dyson	British academic and writer (1896-1975)	Hugo Dyson	Q2271933
Lewis Richard Farnell	Classical scholar and academic administrator (1856–1934)	L. R. Farnell	Q5725627
Robert Cary Gilson	-	R. C. Gilson	Q130309623
Robert Gilson	-	R. Q. Gilson	Q130309602
William Golding	British novelist, poet, playwright and Nobel Prize for Literature laureate (1911–1993)	William Golding	Q44183
E. V. Gordon	Canadian philologist (1896–1938)	E. V. Gordon	Q81877
Ida Gordon	-	Ida Gordon	Q5987021
Roger Lancelyn Green	British writer	Roger Lancelyn Green	Q3044868
Elaine Cecile Mary Nesbitt	(born 1909)	Elaine Griffiths	Q76114181
Colin Hardie	British classicist	Colin Hardie	Q4163426
Adolf Hitler	dictator of Germany from 1933 to 1945	Adolf Hitler	Q352
Richard Hughes	British writer (1900–1976)	Richard Hughes	Q302433
